time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-06-06T19:30:00Z,38,84,1014.31,9.3,9.6,9.0
2025-06-06T00:00:00Z,46,78,1011.92,8.2,8.7,7.7
2025-06-05T03:00:00Z,53,72,1012.14,17.5,18.4,16.6
2025-06-05T07:30:00Z,60,70,1012.89,12.9,13.7,12.2
2025-05-12T20:30:00Z,32,87,1013.86,5.1,5.5,4.7
2025-05-12T02:00:00Z,56,73,1010.22,12.4,13.3,11.5
2025-07-13T06:00:00Z,60,72,1015.71,14.7,15.9,13.6
2025-07-13T00:00:00Z,46,82,1014.54,15.2,15.7,14.7
2025-07-13T19:30:00Z,39,87,1016.32,7.1,7.4,6.8
2025-07-13T15:30:00Z,62,72,1016.72,16.5,17.7,15.4
2025-07-13T02:30:00Z,57,74,1014.69,20.0,21.1,19.0
2025-06-13T18:30:00Z,30,93,1012.16,23.0,23.9,22.0
2025-06-13T18:00:00Z,30,93,1012.0,21.5,22.3,20.7
2025-06-13T16:00:00Z,47,78,1012.3,19.3,20.4,18.2
2025-06-20T19:30:00Z,33,90,1011.7,8.6,9.1,8.1
2025-06-20T17:30:00Z,38,85,1011.71,15.8,16.5,15.1
2025-07-10T21:00:00Z,37,88,1012.91,11.5,12.2,10.7
2025-07-10T23:00:00Z,43,84,1012.2,7.9,8.3,7.5
2025-07-10T15:30:00Z,35,92,1013.8,9.2,10.0,8.5
2025-07-10T19:30:00Z,34,91,1013.66,11.0,11.4,10.5
2025-07-10T09:30:00Z,66,67,1013.53,15.6,16.3,14.8
2025-05-27T08:30:00Z,56,67,1014.86,6.0,6.4,5.5
2025-05-27T15:30:00Z,49,73,1015.66,16.2,17.1,15.2
2025-07-15T00:00:00Z,45,80,1012.75,6.8,7.1,6.4
2025-07-15T11:00:00Z,58,72,1013.7,34.7,36.0,33.4
2025-07-15T07:00:00Z,60,70,1014.1,17.4,18.3,16.5
2025-07-15T20:00:00Z,34,91,1015.25,4.1,4.4,3.8
2025-07-15T11:30:00Z,59,71,1013.61,35.7,36.9,34.4
2025-06-25T13:30:00Z,54,71,1015.78,21.7,23.0,20.3
2025-08-07T09:30:00Z,69,70,1014.82,18.3,19.4,17.3
2025-08-07T11:00:00Z,70,69,1014.75,18.3,19.2,17.4
2025-08-08T05:00:00Z,66,72,1012.62,11.8,12.6,10.9
2025-05-18T01:30:00Z,51,70,1013.38,10.3,11.1,9.6
2025-05-21T17:00:00Z,30,95,1013.29,11.8,12.5,11.1
2025-05-21T05:00:00Z,61,70,1012.24,13.5,14.8,12.2
2025-05-21T02:00:00Z,51,75,1011.32,10.5,11.2,9.8
2025-07-22T05:00:00Z,63,70,1015.08,7.4,8.0,6.8
2025-05-11T13:00:00Z,63,65,1011.18,15.2,16.4,14.0
2025-05-11T03:00:00Z,55,73,1010.57,18.8,20.4,17.3
2025-05-11T19:00:00Z,29,95,1012.54,11.8,12.2,11.3
2025-05-11T01:30:00Z,50,76,1010.11,16.2,17.1,15.2
2025-06-08T00:30:00Z,47,75,1014.33,9.1,9.7,8.6
2025-06-08T16:00:00Z,59,70,1016.31,11.4,12.1,10.7
2025-06-10T18:00:00Z,31,92,1014.48,20.7,21.3,20.1
2025-06-10T16:00:00Z,52,75,1014.92,26.7,27.8,25.6
2025-06-10T04:00:00Z,61,69,1013.28,20.3,21.0,19.6
2025-06-10T08:00:00Z,62,69,1013.62,31.7,32.5,30.9
2025-06-14T11:00:00Z,61,70,1011.75,39.2,39.9,38.4
2025-06-14T15:30:00Z,54,75,1014.23,34.6,35.6,33.7
2025-05-24T02:00:00Z,51,72,1012.95,12.3,13.1,11.5
2025-05-24T21:00:00Z,34,85,1016.05,8.8,9.3,8.3
2025-05-24T06:00:00Z,49,68,1013.45,8.3,9.0,7.5
2025-07-01T16:00:00Z,36,85,1012.96,10.4,10.9,10.0
2025-07-01T00:00:00Z,47,78,1011.0,11.1,11.5,10.7
2025-07-01T01:00:00Z,52,74,1010.81,11.5,12.0,11.0
2025-07-01T02:00:00Z,57,72,1010.63,13.5,14.4,12.6
2025-07-31T21:00:00Z,40,87,1016.0,9.8,10.1,9.5
2025-07-31T22:00:00Z,42,85,1015.51,6.3,6.7,6.0
2025-07-27T10:30:00Z,68,69,1015.38,7.4,8.2,6.7
2025-07-27T20:30:00Z,37,87,1015.62,3.8,4.0,3.5
2025-06-11T02:30:00Z,56,72,1013.29,15.6,16.4,14.8
2025-06-11T03:00:00Z,58,71,1013.32,17.0,17.8,16.1
2025-07-14T11:00:00Z,64,68,1014.58,12.5,13.0,12.0
2025-07-14T21:00:00Z,37,87,1014.24,14.3,14.7,13.8
2025-07-14T02:30:00Z,57,72,1013.88,8.2,8.8,7.6
2025-05-25T07:00:00Z,59,67,1016.01,12.2,12.7,11.7
2025-05-25T03:30:00Z,53,69,1015.25,12.0,12.8,11.2
2025-05-25T14:30:00Z,49,73,1016.39,11.2,11.9,10.4
2025-05-22T03:30:00Z,55,71,1012.36,12.9,14.2,11.5
2025-06-03T12:00:00Z,64,68,1015.2,14.5,15.0,14.0
2025-06-03T17:00:00Z,45,79,1015.53,8.4,8.9,8.0
2025-06-03T10:00:00Z,59,69,1015.64,11.4,12.1,10.8
2025-06-03T07:30:00Z,57,69,1016.16,9.3,9.9,8.6
2025-06-21T12:00:00Z,56,70,1010.86,12.9,14.1,11.6
2025-06-21T11:30:00Z,52,71,1010.64,13.1,14.3,11.9
2025-06-21T12:30:00Z,57,69,1011.12,13.2,14.4,12.1
2025-06-21T07:30:00Z,55,70,1010.43,12.8,13.8,11.9
2025-06-21T15:00:00Z,48,73,1011.74,11.2,12.1,10.3
2025-05-20T09:00:00Z,66,66,1013.36,18.4,19.9,16.9
2025-06-18T03:00:00Z,58,73,1008.64,11.0,12.0,10.1
2025-06-18T01:30:00Z,50,78,1008.58,10.1,10.9,9.3
2025-06-19T03:30:00Z,60,72,1009.59,9.5,10.3,8.6
2025-06-19T11:00:00Z,61,73,1009.8,17.0,18.4,15.6
2025-06-19T22:30:00Z,40,85,1010.34,11.1,11.8,10.3
2025-06-19T15:30:00Z,45,80,1011.1,19.7,21.2,18.2
2025-05-30T23:30:00Z,44,82,1011.71,11.8,12.3,11.3
